,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
332,Kanesatake 6,S-É,..,..,11.86
333,Oka,MÉ,"3,968","3,824",56.99
334,Pointe-Calumet,MÉ,"6,281","6,428",4.59
335,Saint-Joseph-du-Lac,MÉ,"7,031","6,687",41.22
336,Saint-Placide,MÉ,"1,784","1,686",42.89
337,Drummond,MRC,"107,967","103,397","1,599.10"
338,Notre-Dame-du-Bon-Conseil,VL,"1,708","1,557",4.20
339,Drummondville,V,"79,258","75,423",247.11
340,Notre-Dame-du-Bon-Conseil,PE,885,949,87.49
341,Saint-Edmond-de-Grantham,PE,804,762,48.29
342,Saint-Majorique-de-Grantham,PE,"1,384","1,388",57.50
343,Saint-Pie-de-Guire,PE,446,450,51.27
344,Sainte-Brigitte-des-Saults,PE,737,723,70.79
345,Durham-Sud,MÉ,"1,051","1,043",92.64
346,L'Avenir,MÉ,"1,350","1,307",97.59
347,Lefebvre,MÉ,925,904,66.18
348,Saint-Bonaventure,MÉ,"1,066","1,031",78.72
349,Saint-Cyrille-de-Wendover,MÉ,"4,920","4,723",110.20
350,Saint-Eugène,MÉ,"1,139","1,126",75.84
351,Saint-Félix-de-Kingsey,MÉ,"1,493","1,430",126.28
352,Saint-Germain-de-Grantham,MÉ,"4,922","4,917",87.47
353,Saint-Guillaume,MÉ,"1,491","1,476",87.91
354,Saint-Lucien,MÉ,"1,801","1,647",110.99
355,Wickham,MÉ,"2,587","2,541",98.63
356,Joliette,MRC,"71,124","66,550",417.41
357,Saint-Pierre,VL,286,276,9.68
358,Joliette,V,"21,384","20,484",22.96
359,Notre-Dame-des-Prairies,V,"9,471","9,273",18.10
360,Saint-Charles-Borromée,V,"15,285","13,791",18.48
361,Crabtree,MÉ,"4,155","3,958",25.06
362,Notre-Dame-de-Lourdes,MÉ,"3,141","2,783",35.59
363,Saint-Ambroise-de-Kildare,MÉ,"4,090","3,856",67.73
364,Saint-Paul,MÉ,"6,566","5,891",49.11
365,Saint-Thomas,MÉ,"3,496","3,249",94.57
366,Sainte-Mélanie,MÉ,"3,250","2,989",76.10
367,Kamouraska,MRC,"21,307","21,073","2,241.05"
368,La Pocatière,V,"4,078","4,120",21.18
369,Saint-Pascal,V,"3,530","3,468",59.68
370,Saint-Germain,PE,294,286,28.53
371,Saint-Joseph-de-Kamouraska,PE,398,391,84.96
372,Saint-Philippe-de-Néri,PE,818,832,32.65
373,Sainte-Anne-de-la-Pocatière,PE,"1,597","1,636",54.78
374,Petit-Lac-Sainte-Anne,NO,0,0,186.42
375,Picard,NO,5,10,568.10
376,Kamouraska,MÉ,607,616,44.07
377,Mont-Carmel,MÉ,"1,160","1,127",428.26
378,Rivière-Ouelle,MÉ,995,970,57.50
379,Saint-Alexandre-de-Kamouraska,MÉ,"2,255","2,109",111.40
380,Saint-André-de-Kamouraska,MÉ,658,658,71.06
381,Saint-Bruno-de-Kamouraska,MÉ,515,541,188.44
382,Saint-Denis-De La Bouteillerie,MÉ,518,517,33.84
383,Saint-Gabriel-Lalemant,MÉ,660,716,77.92
384,Saint-Onésime-d'Ixworth,MÉ,522,560,102.76
385,Saint-Pacôme,MÉ,"1,806","1,598",29.06
386,Sainte-Hélène-de-Kamouraska,MÉ,891,918,60.46
387,L'Assomption,MRC,"128,087","124,759",255.16
388,Charlemagne,V,"6,302","5,913",2.17
389,L'Assomption,V,"23,442","22,429",98.74
390,L'Épiphanie 5,V,"8,883","8,693r",56.57
391,Repentigny,V,"86,100","84,285",61.52
392,Saint-Sulpice,PE,"3,360","3,439",36.17
393,L'Islet,MRC,"17,598","17,798","2,097.09"
394,Saint-Pamphile,V,"2,274","2,400",137.78
395,Saint-Cyrille-de-Lessard,PE,742,718,230.52
396,Sainte-Louise,PE,674,671,76.59
397,L'Islet,MÉ,"3,803","3,827",119.95
398,Saint-Adalbert,MÉ,460,510,216.16
399,Saint-Aubert,MÉ,"1,441","1,474",98.45
400,Saint-Damase-de-L'Islet,MÉ,563,552,247.64
401,Saint-Jean-Port-Joli,MÉ,"3,329","3,407",69.31
402,Saint-Marcel,MÉ,422,428,178.83
403,Saint-Omer,MÉ,294,277,122.44
404,Saint-Roch-des-Aulnaies,MÉ,955,917,49.14
405,Sainte-Félicité,MÉ,350,389,94.89
406,Sainte-Perpétue,MÉ,"1,715","1,639",291.04
407,Tourville,MÉ,576,589,164.36
408,L'Érable,MRC,"23,534","23,425","1,287.03"
409,Plessisville 5,V,"6,414","6,551r",4.92
410,Princeville,V,"6,218","6,001",195.01
411,Notre-Dame-de-Lourdes,PE,787,688,81.39
412,Plessisville 5,PE,"2,655","2,663r",141.19
413,Saint-Pierre-Baptiste,PE,560,527,81.77
414,Inverness,MÉ,910,899,176.11
415,Laurierville,MÉ,"1,313","1,346",107.91
416,Lyster,MÉ,"1,587","1,605",167.55
417,Saint-Ferdinand,MÉ,"2,007","2,076",137.16
418,Sainte-Sophie-d'Halifax,MÉ,595,612,92.13
419,Villeroy,MÉ,488,457,101.90
420,L'Île-d'Orléans,MRC,"6,817","7,082",194.58
421,Sainte-Pétronille,VL,"1,055","1,033",4.32
422,Saint-François-de-l'Île-d'Orléans,MÉ,536,527,28.96
423,Saint-Jean-de-l'Île-d'Orléans,MÉ,"1,026","1,059",43.48
424,Saint-Laurent-de-l'Île-d'Orléans,MÉ,"1,607","1,532",35.64
425,Saint-Pierre-de-l'Île-d'Orléans,MÉ,"1,743","1,993",31.64
426,Sainte-Famille-de-l'Île-d'Orléans,MÉ,850,938,50.54
427,La Côte-de-Beaupré,MRC,"30,240","28,199","4,845.19"
428,Beaupré,V,"4,117","3,752",22.97
429,Château-Richer,V,"4,425","4,126",228.84
